video_path,class_label
split-videos/train\Shau\20241003_085731_speed_up.mp4,Shau
split-videos/train\Naadi\20241003_121221_flip.mp4,Naadi
split-videos/train\Poush\20241002_104330_speed_up.mp4,Poush
split-videos/train\Amilo\20241003_115353_speed_up.mp4,Amilo
split-videos/train\Falful\20241006_094017_rotate.mp4,Falful
split-videos/train\Hariyo\20241002_121306_color_jitter.mp4,Hariyo
split-videos/train\Falful\20241006_094017_noise.mp4,Falful
split-videos/train\Khairo\20241003_091255_speed_up.mp4,Khairo
split-videos/train\Naadi\20241006_090931_speed_up.mp4,Naadi
split-videos/train\Amilo\20241006_084654_slow_down.mp4,Amilo
split-videos/train\Naadi\20241014_093021_noise.mp4,Naadi
split-videos/train\Falful\20241002_111951_noise.mp4,Falful
split-videos/train\Naadi\20241006_090931_brightness.mp4,Naadi
split-videos/train\Naang\20241014_094053_speed_up.mp4,Naang
split-videos/train\Khairo\Dataset02 (12)_rotate.mp4,Khairo
split-videos/train\Saag\20241014_093956_slow_down.mp4,Saag
split-videos/train\Naang\20241003_085957_color_jitter.mp4,Naang
split-videos/train\Kharayo\Dataset01 (3)_rotate.mp4,Kharayo
split-videos/train\Hathi\20241002_104939_speed_up.mp4,Hathi
split-videos/train\Falful\Dataset01 (15)_flip.mp4,Falful
split-videos/train\Mahina\20241003_091140_color_jitter.mp4,Mahina
split-videos/train\Poush\20241008_091520_speed_up.mp4,Poush
split-videos/train\Sungur\20241008_101208_slow_down.mp4,Sungur
split-videos/train\Baisakh\20241003_115256_rotate.mp4,Baisakh
split-videos/train\Kharayo\dataset 03 (17)_rotate.mp4,Kharayo
split-videos/train\Gundruk\Dataset01 (17)_rotate.mp4,Gundruk
split-videos/train\Shau\dataset 03 (3)_speed_up.mp4,Shau
split-videos/train\Baisakh\20241001_152325_flip.mp4,Baisakh
split-videos/train\Hariyo\20241014_093802_speed_up.mp4,Hariyo
split-videos/train\Sungur\dataset 03 (9)_brightness.mp4,Sungur
split-videos/train\Mahina\20241003_091140_brightness.mp4,Mahina
split-videos/train\Naadi\20241008_094258_speed_up.mp4,Naadi
split-videos/train\Ghar\dataset 03 (11)_flip.mp4,Ghar
split-videos/train\Naadi\20241014_094041_speed_up.mp4,Naadi
split-videos/train\Ghar\20241003_115801_rotate.mp4,Ghar
split-videos/train\Naadi\20241003_085941_color_jitter.mp4,Naadi
split-videos/train\Poush\20241006_093822_rotate.mp4,Poush
split-videos/train\Amilo\20241008_091534_slow_down.mp4,Amilo
split-videos/train\Kera\20241002_104645_color_jitter.mp4,Kera
split-videos/train\Hariyo\20241002_111737_slow_down.mp4,Hariyo
split-videos/train\Hariyo\20241008_093942_flip.mp4,Hariyo
split-videos/train\Kera\20241003_085814_brightness.mp4,Kera
split-videos/train\Jestha\20241014_092519_rotate.mp4,Jestha
split-videos/train\Amilo\Dataset02 (6)_flip.mp4,Amilo
split-videos/train\Naadi\20241003_091428_speed_up.mp4,Naadi
split-videos/train\Hathi\dataset 03 (14)_flip.mp4,Hathi
split-videos/train\Mahina\20241003_120819_speed_up.mp4,Mahina
split-videos/train\Saag\20241003_121137_rotate.mp4,Saag
split-videos/train\Naang\20241008_101128_brightness.mp4,Naang
split-videos/train\Shau\20241006_090711_speed_up.mp4,Shau
split-videos/train\Falful\20241006_090751_rotate.mp4,Falful
split-videos/train\Mahina\20241003_091140_speed_up.mp4,Mahina
split-videos/train\Shau\20241014_092738_speed_up.mp4,Shau
split-videos/train\Nariwal\20241014_092910_noise.mp4,Nariwal
split-videos/train\Shau\Dataset01 (16)_color_jitter.mp4,Shau
split-videos/train\Hathi\20241002_112348_rotate.mp4,Hathi
split-videos/train\Guy\Dataset02 (13)_rotate.mp4,Guy
split-videos/train\Naang\20241003_091438_color_jitter.mp4,Naang
split-videos/train\Baisakh\20241008_100746_color_jitter.mp4,Baisakh
split-videos/train\Hathi\20241002_104939_brightness.mp4,Hathi
split-videos/train\Shau\20241014_093851_brightness.mp4,Shau
split-videos/train\Jestha\20241008_093854_speed_up.mp4,Jestha
split-videos/train\Hathi\20241008_101140_color_jitter.mp4,Hathi
split-videos/train\Naang\dataset 03 (19)_color_jitter.mp4,Naang
split-videos/train\Kharayo\20241014_093156_color_jitter.mp4,Kharayo
split-videos/train\Falful\20241006_083109_speed_up.mp4,Falful
split-videos/train\Naang\20241006_090956_noise.mp4,Naang
split-videos/train\Khairo\Dataset02 (12)_flip.mp4,Khairo
split-videos/train\Poush\dataset 03 (13)_noise.mp4,Poush
split-videos/train\Khairo\20241008_091604_brightness.mp4,Khairo
split-videos/train\Ghar\20241003_085912_slow_down.mp4,Ghar
split-videos/train\Poush\Dataset01 (12)_color_jitter.mp4,Poush
split-videos/train\Kharayo\20241008_091911_noise.mp4,Kharayo
split-videos/train\Kera\20241014_092838_speed_up.mp4,Kera
split-videos/train\Gundruk\20241008_091738_noise.mp4,Gundruk
split-videos/train\Baisakh\Dataset02 (8)_slow_down.mp4,Baisakh
split-videos/train\Ghar\20241006_083407_flip.mp4,Ghar
split-videos/train\Amilo\20241001_152509_slow_down.mp4,Amilo
split-videos/train\Falful\dataset 03 (8)_noise.mp4,Falful
split-videos/train\Jestha\20241003_085542_noise.mp4,Jestha
split-videos/train\Gundruk\Dataset02 (15)_color_jitter.mp4,Gundruk
split-videos/train\Amilo\20241003_120921_brightness.mp4,Amilo
split-videos/train\Guy\20241006_083706_slow_down.mp4,Guy
split-videos/train\Sungur\dataset 03 (9)_rotate.mp4,Sungur
split-videos/train\Poush\20241001_152413_slow_down.mp4,Poush
split-videos/train\Hariyo\20241006_093857_color_jitter.mp4,Hariyo
split-videos/train\Naadi\20241003_121221_slow_down.mp4,Naadi
split-videos/train\Kharayo\20241014_094141_color_jitter.mp4,Kharayo
split-videos/train\Poush\20241003_091227_color_jitter.mp4,Poush
split-videos/train\Khairo\dataset 03 (4)_noise.mp4,Khairo
split-videos/train\Mahina\20241014_092443_flip.mp4,Mahina
split-videos/train\Mahina\20241006_082331_rotate.mp4,Mahina
split-videos/train\Mahina\20241003_114215_noise.mp4,Mahina
split-videos/train\Hathi\20241001_152926_rotate.mp4,Hathi
split-videos/train\Jestha\20241002_111405_slow_down.mp4,Jestha
split-videos/train\Hathi\20241008_091831_brightness.mp4,Hathi
split-videos/train\Kera\20241014_093929_slow_down.mp4,Kera
split-videos/train\Khairo\20241006_090654_speed_up.mp4,Khairo
split-videos/train\Naang\20241003_091438_rotate.mp4,Naang
split-videos/train\Jestha\20241002_121200_rotate.mp4,Jestha
split-videos/train\Sungur\20241003_114826_flip.mp4,Sungur
split-videos/train\Naadi\20241003_121221_color_jitter.mp4,Naadi
split-videos/train\Saag\20241014_093956_color_jitter.mp4,Saag
split-videos/train\Hathi\20241003_115854_slow_down.mp4,Hathi
split-videos/train\Khairo\20241003_115444_speed_up.mp4,Khairo
split-videos/train\Gundruk\20241008_091738_slow_down.mp4,Gundruk
split-videos/train\Ghar\20241001_152853_speed_up.mp4,Ghar
split-videos/train\Baisakh\20241002_121133_flip.mp4,Baisakh
split-videos/train\Hariyo\Dataset02 (16)_flip.mp4,Hariyo
split-videos/train\Mahina\20241014_093632_speed_up.mp4,Mahina
split-videos/train\Naang\20241006_094223_rotate.mp4,Naang
split-videos/train\Naang\20241002_112327_brightness.mp4,Naang
split-videos/train\Kharayo\20241006_091107_brightness.mp4,Kharayo
split-videos/train\Baisakh\20241014_093646_speed_up.mp4,Baisakh
split-videos/train\Khairo\20241008_100859_color_jitter.mp4,Khairo
split-videos/train\Hariyo\20241002_111737_brightness.mp4,Hariyo
split-videos/train\Poush\20241008_093909_brightness.mp4,Poush
split-videos/train\Kera\20241006_083147_color_jitter.mp4,Kera
split-videos/train\Nariwal\20241002_121506_noise.mp4,Nariwal
split-videos/train\Kharayo\20241008_094417_color_jitter.mp4,Kharayo
split-videos/train\Poush\dataset 03 (13)_color_jitter.mp4,Poush
split-videos/train\Falful\20241002_104518_speed_up.mp4,Falful
split-videos/train\Ghar\20241014_093008_speed_up.mp4,Ghar
split-videos/train\Baisakh\20241008_093838_color_jitter.mp4,Baisakh
split-videos/train\Naang\20241003_091438_noise.mp4,Naang
split-videos/train\Hariyo\20241006_093857_rotate.mp4,Hariyo
split-videos/train\Jestha\20241006_093802_flip.mp4,Jestha
split-videos/train\Nariwal\20241008_101009_brightness.mp4,Nariwal
split-videos/train\Naadi\20241008_101113_speed_up.mp4,Naadi
split-videos/train\Hathi\20241008_101140_slow_down.mp4,Hathi
split-videos/train\Hariyo\20241003_115417_brightness.mp4,Hariyo
split-videos/train\Khairo\Dataset01 (9)_speed_up.mp4,Khairo
split-videos/train\Falful\Dataset01 (15)_color_jitter.mp4,Falful
split-videos/train\Hathi\20241003_091446_flip.mp4,Hathi
split-videos/train\Jestha\20241002_111405_brightness.mp4,Jestha
split-videos/train\Kera\20241003_114547_rotate.mp4,Kera
split-videos/train\Kera\20241003_121106_flip.mp4,Kera
split-videos/train\Mahina\20241006_082331_color_jitter.mp4,Mahina
split-videos/train\Hathi\20241002_112348_flip.mp4,Hathi
split-videos/train\Hathi\20241006_091015_color_jitter.mp4,Hathi
split-videos/train\Hariyo\20241006_093857_noise.mp4,Hariyo
split-videos/train\Khairo\20241001_152614_slow_down.mp4,Khairo
split-videos/train\Jestha\20241003_115320_noise.mp4,Jestha
split-videos/train\Shau\20241014_093851_color_jitter.mp4,Shau
split-videos/train\Nariwal\20241008_094202_brightness.mp4,Nariwal
split-videos/train\Shau\20241014_092738_color_jitter.mp4,Shau
split-videos/train\Nariwal\20241001_152800_brightness.mp4,Nariwal
split-videos/train\Sungur\20241001_152959_flip.mp4,Sungur
split-videos/train\Guy\dataset 03 (1)_color_jitter.mp4,Guy
split-videos/train\Naadi\20241008_094258_rotate.mp4,Naadi
split-videos/train\Kharayo\Dataset01 (3)_flip.mp4,Kharayo
split-videos/train\Khairo\20241014_092719_flip.mp4,Khairo
split-videos/train\Naadi\20241003_085941_slow_down.mp4,Naadi
split-videos/train\Poush\20241003_114317_noise.mp4,Poush
split-videos/train\Sungur\20241014_093143_noise.mp4,Sungur
split-videos/train\Naadi\20241008_101113_brightness.mp4,Naadi
split-videos/train\Falful\20241001_152707_flip.mp4,Falful
split-videos/train\Nariwal\20241002_104734_noise.mp4,Nariwal
split-videos/train\Gundruk\20241014_092954_speed_up.mp4,Gundruk
split-videos/train\Saag\20241006_094105_speed_up.mp4,Saag
split-videos/train\Hariyo\20241003_085630_flip.mp4,Hariyo
split-videos/train\Kera\Dataset01 (20)_slow_down.mp4,Kera
split-videos/train\Gundruk\20241003_114656_color_jitter.mp4,Gundruk
split-videos/train\Poush\20241008_100818_noise.mp4,Poush
split-videos/train\Baisakh\20241002_104210_color_jitter.mp4,Baisakh
split-videos/train\Nariwal\20241006_083243_slow_down.mp4,Nariwal
split-videos/train\Mahina\20241008_100734_slow_down.mp4,Mahina
split-videos/train\Gundruk\Dataset01 (17)_flip.mp4,Gundruk
split-videos/train\Baisakh\20241006_090453_noise.mp4,Baisakh
split-videos/train\Gundruk\20241008_094608_noise.mp4,Gundruk
split-videos/train\Amilo\20241002_121249_slow_down.mp4,Amilo
split-videos/train\Jestha\20241003_120846_speed_up.mp4,Jestha
split-videos/train\Poush\20241003_114317_flip.mp4,Poush
split-videos/train\Khairo\20241014_092719_slow_down.mp4,Khairo
split-videos/train\Guy\20241006_083706_color_jitter.mp4,Guy
split-videos/train\Naang\20241003_115834_speed_up.mp4,Naang
split-videos/train\Gundruk\20241001_152838_rotate.mp4,Gundruk
split-videos/train\Shau\20241002_121343_rotate.mp4,Shau
split-videos/train\Amilo\20241014_092627_noise.mp4,Amilo
split-videos/train\Naadi\20241003_091428_noise.mp4,Naadi
split-videos/train\Hariyo\20241014_092643_noise.mp4,Hariyo
split-videos/train\Gundruk\20241006_083351_speed_up.mp4,Gundruk
split-videos/train\Jestha\20241003_114257_flip.mp4,Jestha
split-videos/train\Shau\20241003_085731_flip.mp4,Shau
split-videos/train\Poush\20241014_093156_brightness.mp4,Poush
split-videos/train\Kera\20241014_093929_flip.mp4,Kera
split-videos/train\Nariwal\20241003_091352_brightness.mp4,Nariwal
split-videos/train\Khairo\20241006_084850_noise.mp4,Khairo
split-videos/train\Khairo\20241003_091255_brightness.mp4,Khairo
split-videos/train\Poush\20241008_093909_speed_up.mp4,Poush
split-videos/train\Hathi\20241003_121251_speed_up.mp4,Hathi
split-videos/train\Nariwal\20241002_112125_rotate.mp4,Nariwal
split-videos/train\Kharayo\20241006_094343_noise.mp4,Kharayo
split-videos/train\Shau\20241008_094017_rotate.mp4,Shau
split-videos/train\Hathi\Dataset01 (10)_brightness.mp4,Hathi
split-videos/train\Nariwal\20241003_085829_slow_down.mp4,Nariwal
split-videos/train\Amilo\20241014_092627_brightness.mp4,Amilo
split-videos/train\Hariyo\20241003_115417_noise.mp4,Hariyo
split-videos/train\Hariyo\20241003_120942_rotate.mp4,Hariyo
split-videos/train\Saag\20241003_115728_speed_up.mp4,Saag
split-videos/train\Hathi\Dataset02 (2)_color_jitter.mp4,Hathi
split-videos/train\Khairo\20241003_091255_color_jitter.mp4,Khairo
split-videos/train\Saag\20241014_092939_speed_up.mp4,Saag
split-videos/train\Mahina\20241008_091425_slow_down.mp4,Mahina
split-videos/train\Shau\20241003_091326_slow_down.mp4,Shau
split-videos/train\Khairo\20241003_115444_color_jitter.mp4,Khairo
split-videos/train\Sungur\Dataset02 (9)_slow_down.mp4,Sungur
split-videos/train\Baisakh\Dataset02 (8)_flip.mp4,Baisakh
split-videos/train\Gundruk\20241008_101041_rotate.mp4,Gundruk
split-videos/train\Shau\20241003_115529_color_jitter.mp4,Shau
split-videos/train\Hathi\20241003_114759_color_jitter.mp4,Hathi
split-videos/train\Hathi\20241003_091446_noise.mp4,Hathi
split-videos/train\Mahina\20241003_114215_rotate.mp4,Mahina
split-videos/train\Poush\dataset 03 (13)_rotate.mp4,Poush
split-videos/train\Kera\dataset 03 (15)_speed_up.mp4,Kera
split-videos/train\Guy\20241014_094118_brightness.mp4,Guy
split-videos/train\Jestha\20241002_121200_flip.mp4,Jestha
split-videos/train\Ghar\20241002_121601_slow_down.mp4,Ghar
split-videos/train\Guy\20241003_115910_noise.mp4,Guy
split-videos/train\Kharayo\20241008_091911_color_jitter.mp4,Kharayo
split-videos/train\Jestha\Dataset01 (18)_flip.mp4,Jestha
split-videos/train\Naadi\20241006_083547_rotate.mp4,Naadi
split-videos/train\Kera\20241002_112105_noise.mp4,Kera
split-videos/train\Falful\20241003_085753_rotate.mp4,Falful
split-videos/train\Sungur\20241014_093143_speed_up.mp4,Sungur
split-videos/train\Gundruk\20241002_121547_noise.mp4,Gundruk
split-videos/train\Jestha\20241008_093854_brightness.mp4,Jestha
split-videos/train\Jestha\20241008_091507_noise.mp4,Jestha
split-videos/train\Kera\20241003_115639_rotate.mp4,Kera
split-videos/train\Sungur\dataset 03 (9)_slow_down.mp4,Sungur
split-videos/train\Hariyo\20241006_090638_noise.mp4,Hariyo
split-videos/train\Falful\Dataset01 (15)_slow_down.mp4,Falful
split-videos/train\Poush\20241002_121218_rotate.mp4,Poush
split-videos/train\Ghar\Dataset02 (1)_color_jitter.mp4,Ghar
split-videos/train\Jestha\20241006_082542_rotate.mp4,Jestha
split-videos/train\Shau\20241014_092738_noise.mp4,Shau
split-videos/train\Naadi\20241001_152909_brightness.mp4,Naadi
split-videos/train\Nariwal\dataset 03 (7)_rotate.mp4,Nariwal
split-videos/train\Kera\20241003_091342_rotate.mp4,Kera
split-videos/train\Baisakh\20241003_114239_slow_down.mp4,Baisakh
split-videos/train\Mahina\Dataset01 (13)_rotate.mp4,Mahina
split-videos/train\Baisakh\Dataset02 (8)_speed_up.mp4,Baisakh
split-videos/train\Jestha\20241003_114257_noise.mp4,Jestha
split-videos/train\Baisakh\Dataset01 (8)_speed_up.mp4,Baisakh
split-videos/train\Saag\20241008_091724_rotate.mp4,Saag
split-videos/train\Ghar\20241003_114711_noise.mp4,Ghar
split-videos/train\Saag\20241006_083308_flip.mp4,Saag
split-videos/train\Kera\Dataset02 (4)_rotate.mp4,Kera
split-videos/train\Khairo\20241006_090654_noise.mp4,Khairo
split-videos/train\Amilo\20241006_094559_color_jitter.mp4,Amilo
split-videos/train\Poush\Dataset01 (12)_noise.mp4,Poush
split-videos/train\Khairo\20241008_091604_rotate.mp4,Khairo
split-videos/train\Kera\20241003_114547_brightness.mp4,Kera
split-videos/train\Kera\20241014_092838_color_jitter.mp4,Kera
split-videos/train\Falful\20241014_093907_slow_down.mp4,Falful
split-videos/train\Mahina\20241006_093732_color_jitter.mp4,Mahina
split-videos/train\Guy\20241008_091843_color_jitter.mp4,Guy
split-videos/train\Sungur\20241003_121315_speed_up.mp4,Sungur
split-videos/train\Naadi\20241003_115819_noise.mp4,Naadi
split-videos/train\Guy\20241014_094118_noise.mp4,Guy
split-videos/train\Sungur\20241008_094405_brightness.mp4,Sungur
split-videos/train\Shau\dataset 03 (3)_flip.mp4,Shau
split-videos/train\Poush\20241002_104330_noise.mp4,Poush
split-videos/train\Khairo\20241002_121327_rotate.mp4,Khairo
split-videos/train\Kharayo\20241003_115946_flip.mp4,Kharayo
split-videos/train\Jestha\20241006_093802_rotate.mp4,Jestha
split-videos/train\Khairo\20241001_152614_speed_up.mp4,Khairo
split-videos/train\Guy\20241014_093129_rotate.mp4,Guy
split-videos/train\Naadi\20241006_090931_slow_down.mp4,Naadi
split-videos/train\Naang\20241014_094053_noise.mp4,Naang
split-videos/train\Kera\20241014_092838_flip.mp4,Kera
split-videos/train\Shau\20241008_100913_noise.mp4,Shau
split-videos/train\Mahina\20241014_093632_slow_down.mp4,Mahina
split-videos/train\Hathi\20241006_083647_flip.mp4,Hathi
split-videos/train\Amilo\dataset 03 (2)_rotate.mp4,Amilo
split-videos/train\Amilo\20241006_084654_brightness.mp4,Amilo
split-videos/train\Poush\Dataset02 (19)_flip.mp4,Poush
split-videos/train\Naang\20241008_091819_rotate.mp4,Naang
split-videos/train\Naang\dataset 03 (19)_brightness.mp4,Naang
split-videos/train\Baisakh\20241008_091447_speed_up.mp4,Baisakh
split-videos/train\Gundruk\20241003_114656_speed_up.mp4,Gundruk
split-videos/train\Kera\20241003_115639_noise.mp4,Kera
split-videos/train\Jestha\Dataset02 (5)_speed_up.mp4,Jestha
split-videos/train\Khairo\20241003_115444_brightness.mp4,Khairo
split-videos/train\Nariwal\20241002_121506_slow_down.mp4,Nariwal
split-videos/train\Jestha\20241006_093802_speed_up.mp4,Jestha
split-videos/train\Naang\20241002_112327_color_jitter.mp4,Naang
split-videos/train\Sungur\20241003_121315_rotate.mp4,Sungur
split-videos/train\Falful\20241002_121409_brightness.mp4,Falful
split-videos/train\Poush\20241006_090532_noise.mp4,Poush
split-videos/train\Nariwal\20241003_085829_noise.mp4,Nariwal
split-videos/train\Amilo\20241001_152509_speed_up.mp4,Amilo
split-videos/train\Falful\20241006_094017_brightness.mp4,Falful
split-videos/train\Naang\20241003_121235_noise.mp4,Naang
split-videos/train\Kharayo\20241003_114839_speed_up.mp4,Kharayo
split-videos/train\Nariwal\20241003_121122_noise.mp4,Nariwal
split-videos/train\Naang\Dataset02 (3)_noise.mp4,Naang
split-videos/train\Nariwal\20241006_090828_color_jitter.mp4,Nariwal
split-videos/train\Saag\Dataset01 (5)_brightness.mp4,Saag
split-videos/train\Guy\20241014_093129_flip.mp4,Guy
split-videos/train\Mahina\20241002_104155_flip.mp4,Mahina
split-videos/train\Nariwal\dataset 03 (7)_color_jitter.mp4,Nariwal
split-videos/train\Poush\Dataset02 (19)_rotate.mp4,Poush
split-videos/train\Ghar\20241003_114711_rotate.mp4,Ghar
split-videos/train\Guy\dataset 03 (1)_rotate.mp4,Guy
split-videos/train\Nariwal\20241008_101009_speed_up.mp4,Nariwal
split-videos/train\Mahina\20241001_153334_color_jitter.mp4,Mahina
split-videos/train\Ghar\Dataset02 (1)_brightness.mp4,Ghar
split-videos/train\Shau\20241006_084540_color_jitter.mp4,Shau
split-videos/train\Guy\Dataset01 (11)_brightness.mp4,Guy
split-videos/train\Shau\20241008_091616_rotate.mp4,Shau
split-videos/train\Naadi\20241008_094258_flip.mp4,Naadi
split-videos/train\Khairo\20241002_111802_slow_down.mp4,Khairo
split-videos/train\Falful\20241002_121409_noise.mp4,Falful
split-videos/train\Guy\20241002_121733_flip.mp4,Guy
split-videos/train\Kharayo\Dataset02 (10)_brightness.mp4,Kharayo
split-videos/train\Amilo\20241014_092627_color_jitter.mp4,Amilo
split-videos/train\Sungur\20241014_094128_rotate.mp4,Sungur
split-videos/train\Hathi\20241014_093111_color_jitter.mp4,Hathi
split-videos/train\Shau\20241003_085731_color_jitter.mp4,Shau
split-videos/train\Mahina\20241002_111452_flip.mp4,Mahina
split-videos/train\Hariyo\dataset 03 (16)_rotate.mp4,Hariyo
split-videos/train\Nariwal\20241003_114603_speed_up.mp4,Nariwal
split-videos/train\Mahina\Dataset02 (18)_noise.mp4,Mahina
split-videos/train\Kharayo\20241008_094417_rotate.mp4,Kharayo
split-videos/train\Naang\dataset 03 (19)_noise.mp4,Naang
split-videos/train\Kera\20241002_112105_flip.mp4,Kera
split-videos/train\Ghar\20241003_091420_speed_up.mp4,Ghar
split-videos/train\Ghar\20241006_090918_noise.mp4,Ghar
split-videos/train\Hariyo\20241002_104419_brightness.mp4,Hariyo
split-videos/train\Gundruk\20241008_101041_slow_down.mp4,Gundruk
split-videos/train\Naadi\20241006_090931_flip.mp4,Naadi
split-videos/train\Hathi\20241001_152926_slow_down.mp4,Hathi
split-videos/train\Ghar\20241008_091749_brightness.mp4,Ghar
split-videos/train\Kharayo\20241006_094343_brightness.mp4,Kharayo
split-videos/train\Kera\20241008_091655_rotate.mp4,Kera
split-videos/train\Guy\Dataset02 (13)_color_jitter.mp4,Guy
split-videos/train\Naadi\20241006_094201_brightness.mp4,Naadi
split-videos/train\Naang\20241014_094053_brightness.mp4,Naang
split-videos/train\Ghar\20241014_093008_noise.mp4,Ghar
split-videos/train\Hariyo\20241003_091247_rotate.mp4,Hariyo
split-videos/train\Sungur\20241002_112442_rotate.mp4,Sungur
split-videos/train\Shau\20241003_121017_rotate.mp4,Shau
split-videos/train\Jestha\20241006_090517_speed_up.mp4,Jestha
split-videos/train\Poush\20241003_115333_noise.mp4,Poush
split-videos/train\Guy\20241003_090032_noise.mp4,Guy
split-videos/train\Hariyo\20241003_091247_speed_up.mp4,Hariyo
split-videos/train\Hathi\20241014_094105_slow_down.mp4,Hathi
split-videos/train\Gundruk\dataset 03 (10)_flip.mp4,Gundruk
split-videos/train\Saag\20241003_091401_flip.mp4,Saag
split-videos/train\Amilo\20241002_112728_rotate.mp4,Amilo
split-videos/train\Naang\20241008_101128_rotate.mp4,Naang
split-videos/train\Kera\20241008_094124_color_jitter.mp4,Kera
split-videos/train\Saag\Dataset01 (5)_flip.mp4,Saag
split-videos/train\Shau\20241006_090711_flip.mp4,Shau
split-videos/train\Falful\20241014_093907_noise.mp4,Falful
split-videos/train\Poush\20241003_115333_flip.mp4,Poush
split-videos/train\Nariwal\20241003_115701_slow_down.mp4,Nariwal
split-videos/train\Shau\20241002_121343_speed_up.mp4,Shau
split-videos/train\Ghar\20241002_121601_brightness.mp4,Ghar
split-videos/train\Kera\20241003_114547_speed_up.mp4,Kera
split-videos/train\Poush\20241008_093909_noise.mp4,Poush
split-videos/train\Hathi\20241008_094339_color_jitter.mp4,Hathi
split-videos/train\Poush\Dataset01 (12)_slow_down.mp4,Poush
split-videos/train\Kharayo\20241008_101220_brightness.mp4,Kharayo
split-videos/train\Nariwal\20241003_091352_speed_up.mp4,Nariwal
split-videos/train\Sungur\20241006_094319_speed_up.mp4,Sungur
split-videos/train\Baisakh\20241008_100746_speed_up.mp4,Baisakh
split-videos/train\Jestha\20241002_104255_speed_up.mp4,Jestha
split-videos/train\Ghar\20241002_104835_slow_down.mp4,Ghar
split-videos/train\Hariyo\20241003_114416_rotate.mp4,Hariyo
split-videos/train\Jestha\20241003_115320_rotate.mp4,Jestha
split-videos/train\Shau\20241006_084540_speed_up.mp4,Shau
split-videos/train\Poush\dataset 03 (13)_brightness.mp4,Poush
split-videos/train\Jestha\20241014_093706_color_jitter.mp4,Jestha
split-videos/train\Falful\20241006_090751_slow_down.mp4,Falful
split-videos/train\Hariyo\20241006_090638_speed_up.mp4,Hariyo
split-videos/train\Hathi\20241001_152926_noise.mp4,Hathi
split-videos/train\Amilo\20241003_085616_brightness.mp4,Amilo
split-videos/train\Sungur\20241003_090102_flip.mp4,Sungur
split-videos/train\Naang\20241008_101128_slow_down.mp4,Naang
split-videos/train\Naadi\dataset 03 (12)_noise.mp4,Naadi
split-videos/train\Kera\20241008_094124_flip.mp4,Kera
split-videos/train\Sungur\20241006_091040_flip.mp4,Sungur
split-videos/train\Shau\20241008_091616_speed_up.mp4,Shau
split-videos/train\Poush\20241003_115333_speed_up.mp4,Poush
split-videos/train\Poush\20241003_085559_speed_up.mp4,Poush
split-videos/train\Nariwal\20241008_091712_noise.mp4,Nariwal
split-videos/train\Naadi\20241006_090931_rotate.mp4,Naadi
split-videos/train\Shau\20241008_100913_speed_up.mp4,Shau
split-videos/train\Poush\20241003_114317_slow_down.mp4,Poush
split-videos/train\Hariyo\20241014_092643_brightness.mp4,Hariyo
split-videos/train\Ghar\20241008_091749_slow_down.mp4,Ghar
split-videos/train\Nariwal\20241002_112125_flip.mp4,Nariwal
